kata_asli,kata_benar
kemaren,kemarin
grub,grup
ngk,tidak
nggk,tidak
gak,tidak
gk,tidak
ga,tidak
ngak,tidak
nggak,tidak
srkg,sekarang
skrg,sekarang
bb,berat badan
bgus,bagus
make,pakai
pke,pakai
pake,pakai
tpi,tapi
tp,tapi
tap,tapi
apknya,aplikasi
apl,aplikasi
apliksi,aplikasi
busui,ibu menyusui
recomendet,rekomendasi
recomended,rekomendasi
rekomen,rekomendasi
pokonya,pokoknya
hmil,hamil
prtama,pertama
sangan,sangat
sngat,sangat
uda,sudah
udah,sudah
udh,sudah
sdh,sudah
seneng,senang
sneng,senang
mantep,mantap
meggunakan,menggunakan
mengunakan,menggunakan
mebantu,membantu
membntu,membantu
mbntu,membantu
kek,kayak
untk,untuk
utk,untuk
motifasi,motivasi
enk,enak
dede,dedek
debay,bayi
gimana,bagaimana
gmn,bagaimana
gimna,bagaimana
gabisa,tidak bisa
gaada,tidak ada
hallo,halo
tau,tahu
eror,error
cemes,cemas
stress,stres
bener,benar
liat,lihat
makasih,terima kasih
trimakasih,terima kasih
terimakasih,terima kasih
bermanfat,bermanfaat
brmanfaat,bermanfaat
alhamdulilah,alhamdulillah
mingu,minggu
permingu,per minggu
ingris,inggris
pny,punya
ttp,tetap
dgn,dengan
dg,dengan
jdi,jadi
jd,jadi
dlm,dalam
blm,belum
tdk,tidak
dlu,dulu
dl,dulu
ttg,tentang
bnyk,banyak
bnyak,banyak
krn,karena
karna,karena
krena,karena
trs,terus
dpt,dapat
dapet,dapat
dpet,dapat
aq,aku
sm,sama
dn,dan
ni,ini
ny,nya
mw,mau
aj,saja
cm,cuma
dh,sudah
kl,kalau
klo,kalau
kalo,kalau
dr,dari
jg,juga
jga,juga
yg,yang
thn,tahun
th,tahun
moga,semoga
sy,saya
sya,saya
sampe,sampai
smpe,sampai
otw,dalam perjalanan
by,bayi
responya,respon nya
bgt,banget
bngt,banget
sukak,suka
notif,notifikasi
manfatnya,manfaat nya
mingunya,minggu nya
kak,kakak
sikecil,bayi
orangtua,orang tua
brhasil,berhasil
bhs,bahasa
walopun,walaupun
siga,sigap
skali,sekali
slu,selalu
jaman,zaman
anaku,anakku
gini,begini
bun,ibu
wek,minggu
tampilanya,tampilan nya
emak,ibu
bulanya,bulan nya
adanya,ada nya
suport,dukungan
catin,calon pengantin
smga,semoga
cuan,keuntungan
nyari,mencari
