kata_asli,kata_benar
aamiin,amin
amiin,amin
aminn,amin
aminnn,amin
baguss,bagus
bagusss,bagus
bagussss,bagus
baguus,bagus
bangett,banget
bangettt,banget
banyakkk,banyak
bestt,terbaik
besttt,terbaik
dehh,deh
karnaa,karena
kerenn,keren
kerennn,keren
mantapp,mantap
mantappp,mantap
mantaap,mantap
membantuu,membantu
membantuuu,membantu
nyaa,nya
saangat,sangat
sangaat,sangat
sangatt,sangat
sangaaat,sangat
sanggat,sangat
sekalii,sekali
sekaliii,sekali
sihh,sih
sii,sih
siih,sih
sippp,sip
sukaa,suka
sukaaa,suka
sukaaaa,suka
yaa,ya
yaaa,ya
yaaaa,ya
bestt,terbaik
besttt,terbaik
besstt,terbaik
ketigaa,ketiga
ketigaaa,ketiga
topp,top
toppp,top
ramahh,ramah
ramahhh,ramah
banyakk,banyak
banyakkk,banyak
bumill,ibu hamil
ciamikk,bagus
adekk,adek
adekkk,adek
tentunyaa,tentunya
ramahhh,ramah
baguuusss,bagus
bangetttt,banget
mantaaab,mantap
okeeee,oke
sukaaaaa,suka
errorrr,error
loadinggg,loading
ilangg,hilang
